Symbol,Dollar_Symbol,Name
KRC,$KRC,Kilroy Realty Corporation Common Stock
KREF,$KREF,KKR Real Estate Finance Trust Inc. Common Stock
KRG,$KRG,Kite Realty Group Trust Common Stock
KRNT,$KRNT,Kornit Digital Ltd. Ordinary Shares
KRNY,$KRNY,Kearny Financial Corp Common Stock
KRO,$KRO,Kronos Worldwide Inc Common Stock
KROS,$KROS,Keros Therapeutics Inc. Common Stock
KRP,$KRP,Kimbell Royalty Partners Common Units Representing Limited Partner Interests
KRT,$KRT,Karat Packaging Inc. Common Stock
KRTX,$KRTX,Karuna Therapeutics Inc. Common Stock
KRUS,$KRUS,Kura Sushi USA Inc. Class A Common Stock
KRYS,$KRYS,Krystal Biotech Inc. Common Stock
KSS,$KSS,Kohl's Corporation Common Stock
KT,$KT,KT Corporation Common Stock
KTB,$KTB,Kontoor Brands Inc. Common Stock 
KTF,$KTF,DWS Municipal Income Trust
KTOS,$KTOS,Kratos Defense & Security Solutions Inc. Common Stock
KURA,$KURA,Kura Oncology Inc. Common Stock
KVSA,$KVSA,Khosla Ventures Acquisition Co. Class A Common Stock
KVUE,$KVUE,Kenvue Inc. Common Stock
KW,$KW,Kennedy-Wilson Holdings Inc. Common Stock
KWR,$KWR,Quaker Houghton Common Stock
KYMR,$KYMR,Kymera Therapeutics Inc. Common Stock
KYN,$KYN,Kayne Anderson Energy Infrastructure Fund Inc.
$L,$L,Loews Corporation Common Stock
LAC,$LAC,Lithium Americas Corp. Common Shares
LAD,$LAD,Lithia Motors Inc. Common Stock
LADR,$LADR,Ladder Capital Corp Class A Common Stock
LAMR,$LAMR,Lamar Advertising Company Class A Common Stock
LANC,$LANC,Lancaster Colony Corporation Common Stock
LAND,$LAND,Gladstone Land Corporation Common Stock
LANDM,$LANDM,Gladstone Land Corporation 5.00% Series D Cumulative Term Preferred Stock
LANDO,$LANDO,Gladstone Land Corporation 6.00% Series B Cumulative Redeemable Preferred Stock
LANV,$LANV,Lanvin Group Holdings Limited Ordinary Shares
LASR,$LASR,nLIGHT Inc. Common Stock
LAUR,$LAUR,Laureate Education Inc. Common Stock
LAW,$LAW,CS Disco Inc. Common Stock
LAZ,$LAZ,Lazard LTD. Lazard LTD. Class A Common Stock
LAZR,$LAZR,Luminar Technologies Inc.  Class A Common Stock
LBAI,$LBAI,Lakeland Bancorp Inc. Common Stock
LBC,$LBC,Luther Burbank Corporation Common Stock
LBRDA,$LBRDA,Liberty Broadband Corporation Class A Common Stock
LBRDK,$LBRDK,Liberty Broadband Corporation Class C Common Stock
LBRDP,$LBRDP,Liberty Broadband Corporation Series A Cumulative Redeemable Preferred Stock
LBRT,$LBRT,Liberty Energy Inc. Class A common stock
LBTYA,$LBTYA,Liberty Global plc Class A Ordinary Shares
LBTYB,$LBTYB,Liberty Global plc Class B Ordinary Shares
LBTYK,$LBTYK,Liberty Global plc Class C Ordinary Shares
LC,$LC,LendingClub Corporation Common Stock
LCID,$LCID,Lucid Group Inc. Common Stock
LCII,$LCII,LCI Industries
LDI,$LDI,loanDepot Inc. Class A Common Stock
LDOS,$LDOS,Leidos Holdings Inc. Common Stock
LE,$LE,Lands' End Inc. Common Stock
LEA,$LEA,Lear Corporation Common Stock
LECO,$LECO,Lincoln Electric Holdings Inc. Common Shares
LEG,$LEG,Leggett & Platt Incorporated Common Stock
LEGH,$LEGH,Legacy Housing Corporation Common Stock (TX)
LEGN,$LEGN,Legend Biotech Corporation American Depositary Shares
LEN,$LEN,Lennar Corporation Class A Common Stock
LEO,$LEO,BNY Mellon Strategic Municipals Inc. Common Stock
LESL,$LESL,Leslie's Inc. Common Stock
LEU,$LEU,Centrus Energy Corp. Class A Common Stock
LEV,$LEV,The Lion Electric Company Common Shares
LEVI,$LEVI,Levi Strauss & Co Class A Common Stock
LFCR,$LFCR,Lifecore Biomedical Inc. Common Stock
LFMDP,$LFMDP,LifeMD Inc. 8.875% Series A Cumulative Perpetual Preferred Stock
LFST,$LFST,LifeStance Health Group Inc. Common Stock
LFUS,$LFUS,Littelfuse Inc. Common Stock
LGIH,$LGIH,LGI Homes Inc. Common Stock
LGND,$LGND,Ligand Pharmaceuticals Incorporated Common Stock
LGO,$LGO,Largo Inc. Common Shares
LGVC,$LGVC,LAMF Global Ventures Corp. I Class A Ordinary Shares
LH,$LH,Laboratory Corporation of America Holdings Common Stock
LHX,$LHX,L3Harris Technologies Inc. Common Stock
LI,$LI,Li Auto Inc. American Depositary Shares
LICY,$LICY,Li-Cycle Holdings Corp. Common Shares
LIFW,$LIFW,MSP Recovery Inc. Class A Common Stock
LIFWZ,$LIFWZ,MSP Recovery Inc. Warrant
LII,$LII,Lennox International Inc. Common Stock
LILA,$LILA,Liberty Latin America Ltd. Class A Common Stock
LILAK,$LILAK,Liberty Latin America Ltd. Class C Common Stock
LILM,$LILM,Lilium N.V. Class A Ordinary Shares
LIN,$LIN,Linde plc Ordinary Shares
LIND,$LIND,Lindblad Expeditions Holdings Inc. Common Stock
LITE,$LITE,Lumentum Holdings Inc. Common Stock
LIVN,$LIVN,LivaNova PLC Ordinary Shares
LKFN,$LKFN,Lakeland Financial Corporation Common Stock
LKQ,$LKQ,LKQ Corporation Common Stock
LLY,$LLY,Eli Lilly and Company Common Stock
LMAT,$LMAT,LeMaitre Vascular Inc. Common Stock
LMND,$LMND,Lemonade Inc. Common Stock
LMT,$LMT,Lockheed Martin Corporation Common Stock
LNC,$LNC,Lincoln National Corporation Common Stock
LND,$LND,Brasilagro Brazilian Agric Real Estate Co Sponsored ADR (Brazil)
LNG,$LNG,Cheniere Energy Inc. Common Stock
LNN,$LNN,Lindsay Corporation Common Stock
LNT,$LNT,Alliant Energy Corporation Common Stock
LNTH,$LNTH,Lantheus Holdings Inc. Common Stock
LNW,$LNW,Light & Wonder Inc. Common Stock
LNZA,$LNZA,LanzaTech Global Inc. Common Stock
LOB,$LOB,Live Oak Bancshares Inc. Common Stock
LOCO,$LOCO,El Pollo Loco Holdings Inc. Common Stock
LOGI,$LOGI,Logitech International S.A. Ordinary Shares
LOMA,$LOMA,Loma Negra Compania Industrial Argentina Sociedad Anonima ADS
LOPE,$LOPE,Grand Canyon Education Inc. Common Stock
LOVE,$LOVE,The Lovesac Company Common Stock
LOW,$LOW,Lowe's Companies Inc. Common Stock
LPG,$LPG,Dorian LPG Ltd. Common Stock
LPL,$LPL,LG Display Co Ltd AMERICAN DEPOSITORY SHARES
LPLA,$LPLA,LPL Financial Holdings Inc. Common Stock
LPRO,$LPRO,Open Lending Corporation Common Stock
LPSN,$LPSN,LivePerson Inc. Common Stock
LPX,$LPX,Louisiana-Pacific Corporation Common Stock
LQDT,$LQDT,Liquidity Services Inc. Common Stock
LRCX,$LRCX,Lam Research Corporation Common Stock
LRN,$LRN,Stride Inc. Common Stock
LSCC,$LSCC,Lattice Semiconductor Corporation Common Stock
LSEA,$LSEA,Landsea Homes Corporation Common Stock
LSPD,$LSPD,Lightspeed Commerce Inc. Subordinate Voting Shares
LSTR,$LSTR,Landstar System Inc. Common Stock
LSXMA,$LSXMA,Liberty Media Corporation Series A Liberty SiriusXM Common Stock
LSXMB,$LSXMB,Liberty Media Corporation Series B Liberty SiriusXM Common Stock
LSXMK,$LSXMK,Liberty Media Corporation Series C Liberty SiriusXM Common Stock
LTC,$LTC,LTC Properties Inc. Common Stock
LTH,$LTH,Life Time Group Holdings Inc. Common Stock
LTHM,$LTHM,Livent Corporation Common Stock
LTRPB,$LTRPB,Liberty TripAdvisor Holdings Inc. Series B Common Stock
LU,$LU,Lufax Holding Ltd American Depositary Shares two of which representing one Ordinary Share
LULU,$LULU,lululemon athletica inc. Common Stock
LUMN,$LUMN,Lumen Technologies Inc. Common Stock
LUNA,$LUNA,Luna Innovations Incorporated Common Stock
LUNG,$LUNG,Pulmonx Corporation Common Stock
LUNR,$LUNR,Intuitive Machines Inc. Class A Common Stock
LUV,$LUV,Southwest Airlines Company Common Stock
LVRO,$LVRO,Lavoro Limited Class A Ordinary Shares
LVS,$LVS,Las Vegas Sands Corp. Common Stock
LVWR,$LVWR,LiveWire Group Inc. Common Stock
LW,$LW,Lamb Weston Holdings Inc. Common Stock 
LWLG,$LWLG,Lightwave Logic Inc. Common Stock
LX,$LX,LexinFintech Holdings Ltd. American Depositary Shares
LXFR,$LXFR,Luxfer Holdings PLC Ordinary Shares
LXP,$LXP,LXP Industrial Trust Common Stock (Maryland REIT)
LXRX,$LXRX,Lexicon Pharmaceuticals Inc. Common Stock
LXU,$LXU,LSB Industries Inc. Common Stock
LYB,$LYB,LyondellBasell Industries NV Ordinary Shares Class A (Netherlands)
LYEL,$LYEL,Lyell Immunopharma Inc. Common Stock
LYFT,$LYFT,Lyft Inc. Class A Common Stock
LYG,$LYG,Lloyds Banking Group Plc American Depositary Shares
LYTS,$LYTS,LSI Industries Inc. Common Stock
LYV,$LYV,Live Nation Entertainment Inc. Common Stock
LZ,$LZ,LegalZoom.com Inc. Common Stock
LZB,$LZB,La-Z-Boy Incorporated Common Stock
LZM,$LZM,Lifezone Metals Limited Ordinary Shares
$M,$M,Macy's Inc Common Stock
MA,$MA,Mastercard Incorporated Common Stock
MAA,$MAA,Mid-America Apartment Communities Inc. Common Stock
MAC,$MAC,Macerich Company (The) Common Stock
MAG,$MAG,MAG Silver Corporation Ordinary Shares
MAIN,$MAIN,Main Street Capital Corporation Common Stock
MAN,$MAN,ManpowerGroup Common Stock
MANH,$MANH,Manhattan Associates Inc. Common Stock
MANU,$MANU,Manchester United Ltd. Class A Ordinary Shares
MAR,$MAR,Marriott International Class A Common Stock
MARA,$MARA,Marathon Digital Holdings Inc. Common Stock
MAS,$MAS,Masco Corporation Common Stock
MASI,$MASI,Masimo Corporation Common Stock
MAT,$MAT,Mattel Inc. Common Stock
MATV,$MATV,Mativ Holdings Inc. Common Stock
MATW,$MATW,Matthews International Corporation Class A Common Stock
MATX,$MATX,Matson Inc. Common Stock
MAX,$MAX,MediaAlpha Inc. Class A Common Stock
MAXN,$MAXN,Maxeon Solar Technologies Ltd. Ordinary Shares
MBC,$MBC,MasterBrand Inc. Common Stock
MBI,$MBI,MBIA Inc. Common Stock
MBIN,$MBIN,Merchants Bancorp Common Stock
MBINM,$MBINM,Merchants Bancorp Depositary Shares Each Representing a 1/40th Interest in a Share of 8.25% Fixed-Rate Reset Series D Non-Cumulative Perpetual Preferred Stock
MBINN,$MBINN,Merchants Bancorp Depositary Shares Preferred Series C
MBINO,$MBINO,Merchants Bancorp Depositary Shares Each Representing a 1/40th Interest in a Share of Series B  Fixed-to-Floating Rate
MBINP,$MBINP,Merchants Bancorp 7.00% Fixed-to-Floating Rate Series A Non-Cumulative Perpetual Preferred Stock
MBLY,$MBLY,Mobileye Global Inc. Class A Common Stock
MBSC,$MBSC,M3-Brigade Acquisition III Corp. Class A Common Stock
MBUU,$MBUU,Malibu Boats Inc. Class A Common Stock
MBWM,$MBWM,Mercantile Bank Corporation Common Stock
MC,$MC,Moelis & Company Class A Common Stock
MCB,$MCB,Metropolitan Bank Holding Corp. Common Stock
MCBC,$MCBC,Macatawa Bank Corporation Common Stock
MCBS,$MCBS,MetroCity Bankshares Inc. Common Stock
MCD,$MCD,McDonald's Corporation Common Stock
MCFT,$MCFT,MasterCraft Boat Holdings Inc. Common Stock
MCHP,$MCHP,Microchip Technology Incorporated Common Stock
MCI,$MCI,Barings Corporate Investors Common Stock
MCK,$MCK,McKesson Corporation Common Stock
MCO,$MCO,Moody's Corporation Common Stock
MCRB,$MCRB,Seres Therapeutics Inc. Common Stock
MCRI,$MCRI,Monarch Casino & Resort Inc. Common Stock
MCS,$MCS,Marcus Corporation (The) Common Stock
MCW,$MCW,Mister Car Wash Inc. Common Stock
MCY,$MCY,Mercury General Corporation Common Stock
MD,$MD,Pediatrix Medical Group Inc. Common Stock
MDB,$MDB,MongoDB Inc. Class A Common Stock
MDC,$MDC,M.D.C. Holdings Inc. Common Stock
MDGL,$MDGL,Madrigal Pharmaceuticals Inc. Common Stock
MDLZ,$MDLZ,Mondelez International Inc. Class A Common Stock
MDRX,$MDRX,Veradigm Inc. Common Stock
MDT,$MDT,Medtronic plc. Ordinary Shares
MDU,$MDU,MDU Resources Group Inc. Common Stock (Holding Company)
MDXG,$MDXG,MiMedx Group Inc Common Stock
ME,$ME,23andMe Holding Co. Class A Common Stock
MED,$MED,MEDIFAST INC Common Stock
MEDP,$MEDP,Medpace Holdings Inc. Common Stock
MEG,$MEG,Montrose Environmental Group Inc. Common Stock
MEI,$MEI,Methode Electronics Inc. Common Stock
MELI,$MELI,MercadoLibre Inc. Common Stock
MEOH,$MEOH,Methanex Corporation Common Stock
MERC,$MERC,Mercer International Inc. Common Stock
MESO,$MESO,Mesoblast Limited American Depositary Shares
MET,$MET,MetLife Inc. Common Stock
META,$META,Meta Platforms Inc. Class A Common Stock
METC,$METC,Ramaco Resources Inc. Class A Common Stock
METCB,$METCB,Ramaco Resources Inc. Class B Common Stock
METCL,$METCL,Ramaco Resources Inc. 9.00% Senior Notes due 2026
MFA,$MFA,MFA Financial Inc.
MFC,$MFC,Manulife Financial Corporation Common Stock
MFG,$MFG,Mizuho Financial Group Inc. Sponosred ADR (Japan)
MFIC,$MFIC,MidCap Financial Investment Corporation Common Stock
MGA,$MGA,Magna International Inc. Common Stock
MGEE,$MGEE,MGE Energy Inc
MGIC,$MGIC,Magic Software Enterprises Ltd. Ordinary Shares
MGM,$MGM,MGM Resorts International Common Stock
MGNI,$MGNI,Magnite Inc. Common Stock
MGPI,$MGPI,MGP Ingredients Inc.
MGR,$MGR,Affiliated Managers Group Inc. 5.875% Junior Subordinated Notes due 2059
MGRB,$MGRB,Affiliated Managers Group Inc. 4.750% Junior Subordinated Notes due 2060
MGRC,$MGRC,McGrath RentCorp Common Stock
MGRD,$MGRD,Affiliated Managers Group Inc. 4.200% Junior Subordinated Notes due 2061
MGTX,$MGTX,MeiraGTx Holdings plc Ordinary Shares
MGY,$MGY,Magnolia Oil & Gas Corporation Class A Common Stock
MHD,$MHD,Blackrock MuniHoldings Fund Inc. Common Stock
MHK,$MHK,Mohawk Industries Inc. Common Stock
MHLA,$MHLA,Maiden Holdings Ltd. 6.625% Notes due 2046
MHN,$MHN,Blackrock MuniHoldings New York Quality Fund Inc. Common Stock
MHNC,$MHNC,Maiden Holdings North America Ltd. 7.75% Notes due 2043
MHO,$MHO,M/I Homes Inc. Common Stock
MIDD,$MIDD,Middleby Corporation (The) Common Stock
MIN,$MIN,MFS Intermediate Income Trust Common Stock
MIR,$MIR,Mirion Technologies Inc. Class A Common Stock
MIRM,$MIRM,Mirum Pharmaceuticals Inc. Common Stock
MITK,$MITK,Mitek Systems Inc. Common Stock
MIY,$MIY,Blackrock MuniYield Michigan Quality Fund Inc. Common Stock
MKC,$MKC,McCormick & Company Incorporated Common Stock
MKFG,$MKFG,Markforged Holding Corporation Common Stock
MKL,$MKL,Markel Group Inc. Common Stock
MKSI,$MKSI,MKS Instruments Inc. Common Stock
MKTW,$MKTW,MarketWise Inc. Class A Common Stock
MKTX,$MKTX,MarketAxess Holdings Inc. Common Stock
MLAB,$MLAB,Mesa Laboratories Inc. Common Stock
MLCO,$MLCO,Melco Resorts & Entertainment Limited American Depositary Shares
MLI,$MLI,Mueller Industries Inc. Common Stock
MLKN,$MLKN,MillerKnoll Inc. Common Stock
MLM,$MLM,Martin Marietta Materials Inc. Common Stock
MLNK,$MLNK,MeridianLink Inc. Common Stock
MLR,$MLR,Miller Industries Inc. Common Stock
MLTX,$MLTX,MoonLake Immunotherapeutics Class A Ordinary Shares
MLYS,$MLYS,Mineralys Therapeutics Inc. Common Stock
MMC,$MMC,Marsh & McLennan Companies Inc. Common Stock
MMI,$MMI,Marcus & Millichap Inc. Common Stock
MMM,$MMM,3M Company Common Stock
MMP,$MMP,Magellan Midstream Partners L.P. Limited Partnership
MMS,$MMS,Maximus Inc. Common Stock
MMSI,$MMSI,Merit Medical Systems Inc. Common Stock
MMYT,$MMYT,MakeMyTrip Limited Ordinary Shares
MNDY,$MNDY,monday.com Ltd. Ordinary Shares
MNKD,$MNKD,MannKind Corporation Common Stock
MNRO,$MNRO,Monro Inc. Common Stock
MNSO,$MNSO,MINISO Group Holding Limited American Depositary Shares each representing four Ordinary Shares
MNST,$MNST,Monster Beverage Corporation
MNTK,$MNTK,Montauk Renewables Inc. Common Stock
MO,$MO,Altria Group Inc.
MOBBW,$MOBBW,Mobilicom Limited Warrants
MOD,$MOD,Modine Manufacturing Company Common Stock
MODG,$MODG,Topgolf Callaway Brands Corp. Common Stock
MODN,$MODN,Model N Inc. Common Stock
MODV,$MODV,ModivCare Inc. Common Stock
MOFG,$MOFG,MidWestOne Financial Gp Common Stock
MOH,$MOH,Molina Healthcare Inc Common Stock
MOMO,$MOMO,Hello Group Inc. American Depositary Shares
MOND,$MOND,Mondee Holdings Inc. Class A Common Stock
MOR,$MOR,MorphoSys AG American Depositary Shares
MORF,$MORF,Morphic Holding Inc. Common Stock
MORN,$MORN,Morningstar Inc. Common Stock
MOS,$MOS,Mosaic Company (The) Common Stock
MOV,$MOV,Movado Group Inc. Common Stock
MP,$MP,MP Materials Corp. Common Stock
MPB,$MPB,Mid Penn Bancorp Common Stock
MPC,$MPC,Marathon Petroleum Corporation Common Stock
MPLN,$MPLN,MultiPlan Corporation Class A Common Stock
MPLX,$MPLX,MPLX LP Common Units Representing Limited Partner Interests
MPW,$MPW,Medical Properties Trust Inc. common stock
MPWR,$MPWR,Monolithic Power Systems Inc. Common Stock
MPX,$MPX,Marine Products Corporation Common Stock
MQ,$MQ,Marqeta Inc. Class A Common Stock
MQY,$MQY,Blackrock MuniYield Quality Fund Inc. Common Stock
MRC,$MRC,MRC Global Inc. Common Stock
MRCY,$MRCY,Mercury Systems Inc Common Stock
MRK,$MRK,Merck & Company Inc. Common Stock (new)
MRNA,$MRNA,Moderna Inc. Common Stock
MRNS,$MRNS,Marinus Pharmaceuticals Inc. Common Stock
MRO,$MRO,Marathon Oil Corporation Common Stock
MRTN,$MRTN,Marten Transport Ltd. Common Stock
MRTX,$MRTX,Mirati Therapeutics Inc. Common Stock
MRUS,$MRUS,Merus N.V. Common Shares
MRVI,$MRVI,Maravai LifeSciences Holdings Inc. Class A Common Stock
MRVL,$MRVL,Marvell Technology Inc. Common Stock
MS,$MS,Morgan Stanley Common Stock
MSA,$MSA,MSA Safety Incorporated Common Stock
MSBI,$MSBI,Midland States Bancorp Inc. Common Stock
MSBIP,$MSBIP,Midland States Bancorp Inc. Depositary Shares Each Representing a 1/40th Interest in a Share of 7.750% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock Series A
MSC,$MSC,Studio City International Holdings Limited American depositary shares each representing four  Class A ordinary shares
MSCI,$MSCI,MSCI Inc. Common Stock
MSEX,$MSEX,Middlesex Water Company Common Stock
MSFT,$MSFT,Microsoft Corporation Common Stock
MSGE,$MSGE,Madison Square Garden Entertainment Corp. Class A Common Stock
MSGS,$MSGS,Madison Square Garden Sports Corp. Class A Common Stock (New)
MSI,$MSI,Motorola Solutions Inc. Common Stock
MSM,$MSM,MSC Industrial Direct Company Inc. Common Stock
MSTR,$MSTR,MicroStrategy Incorporated Common Stock Class A
MT,$MT,Arcelor Mittal NY Registry Shares NEW
MTB,$MTB,M&T Bank Corporation Common Stock
MTCH,$MTCH,Match Group Inc. Common Stock
MTD,$MTD,Mettler-Toledo International Inc. Common Stock
MTDR,$MTDR,Matador Resources Company Common Stock
MTG,$MTG,MGIC Investment Corporation Common Stock
MTH,$MTH,Meritage Homes Corporation Common Stock
MTLS,$MTLS,Materialise NV American Depositary Shares
MTN,$MTN,Vail Resorts Inc. Common Stock
MTRN,$MTRN,Materion Corporation
MTSI,$MTSI,MACOM Technology Solutions Holdings Inc. Common Stock
MTTR,$MTTR,Matterport Inc. Class A Common Stock
MTW,$MTW,Manitowoc Company Inc. (The) Common Stock
MTX,$MTX,Minerals Technologies Inc. Common Stock
MTZ,$MTZ,MasTec Inc. Common Stock
MU,$MU,Micron Technology Inc. Common Stock
MUA,$MUA,Blackrock MuniAssets Fund Inc Common Stock
MUC,$MUC,Blackrock MuniHoldings California Quality Fund Inc.  Common Stock
MUFG,$MUFG,Mitsubishi UFJ Financial Group Inc. Common Stock
MUI,$MUI,BlackRock Municipal Income Fund Inc. Common Stock
MUJ,$MUJ,Blackrock MuniHoldings New Jersey Quality Fund Inc. Common Stock
MUR,$MUR,Murphy Oil Corporation Common Stock
MUSA,$MUSA,Murphy USA Inc. Common Stock
MUX,$MUX,McEwen Mining Inc. Common Stock
MVBF,$MVBF,MVB Financial Corp. Common Stock
MVF,$MVF,Blackrock MuniVest Fund Inc. Common Stock
MVIS,$MVIS,MicroVision Inc. Common Stock
MVST,$MVST,Microvast Holdings Inc. Common Stock
MWA,$MWA,MUELLER WATER PRODUCTS Common Stock
MX,$MX,Magnachip Semiconductor Corporation Common Stock
MXCT,$MXCT,MaxCyte Inc. Common Stock
MXL,$MXL,MaxLinear Inc. Common Stock
MYD,$MYD,Blackrock MuniYield Fund Inc.  Common Stock
MYE,$MYE,Myers Industries Inc. Common Stock
MYGN,$MYGN,Myriad Genetics Inc. Common Stock
MYI,$MYI,Blackrock MuniYield Quality Fund III Inc Common Stock
MYPS,$MYPS,PLAYSTUDIOS Inc.  Class A Common Stock
MYRG,$MYRG,MYR Group Inc. Common Stock
MYTE,$MYTE,MYT Netherlands Parent B.V. American Depositary Shares each representing one Ordinary Share
NAAS,$NAAS,NaaS Technology Inc. American Depositary Shares
NABL,$NABL,N-able Inc. Common Stock
NAMS,$NAMS,NewAmsterdam Pharma Company N.V. Ordinary Shares
NAN,$NAN,Nuveen New York Quality Municipal Income Fund Common Stock
NAPA,$NAPA,The Duckhorn Portfolio Inc. Common Stock
NARI,$NARI,Inari Medical Inc. Common Stock
NAT,$NAT,Nordic American Tankers Limited Common Stock
NATH,$NATH,Nathan's Famous Inc. Common Stock
NATI,$NATI,National Instruments Corporation Common Stock
NAUT,$NAUT,Nautilus Biotechnolgy Inc. Common Stock
NAVI,$NAVI,Navient Corporation Common Stock
NB,$NB,NioCorp Developments Ltd. Common Stock
NBHC,$NBHC,National Bank Holdings Corporation Common Stock
NBIX,$NBIX,Neurocrine Biosciences Inc. Common Stock
NBN,$NBN,Northeast Bank Common Stock
NBR,$NBR,Nabors Industries Ltd.
NBTB,$NBTB,NBT Bancorp Inc. Common Stock
NCLH,$NCLH,Norwegian Cruise Line Holdings Ltd. Ordinary Shares
NCNO,$NCNO,nCino Inc. Common Stock
NCR,$NCR,NCR Corporation Common Stock
NCV,$NCV,Virtus Convertible & Income Fund Common Shares of Beneficial Interest
NDAQ,$NDAQ,Nasdaq Inc. Common Stock
NDMO,$NDMO,Nuveen Dynamic Municipal Opportunities Fund Common Shares of Beneficial Interest
NDSN,$NDSN,Nordson Corporation Common Stock
NE,$NE,Noble Corporation plc A Ordinary Shares
NEE,$NEE,NextEra Energy Inc. Common Stock
NEGG,$NEGG,Newegg Commerce Inc. Common Shares
NEM,$NEM,Newmont Corporation
NEO,$NEO,NeoGenomics Inc. Common Stock
NEOG,$NEOG,Neogen Corporation Common Stock
NEP,$NEP,NextEra Energy Partners LP Common Units representing limited partner interests
NET,$NET,Cloudflare Inc. Class A Common Stock
NETI,$NETI,Eneti Inc. Common Stock
NEU,$NEU,NewMarket Corp Common Stock
NEWP,$NEWP,New Pacific Metals Corp. Common Shares
NEWR,$NEWR,New Relic Inc. Common Stock
NEWT,$NEWT,NewtekOne Inc. Common Stock
NEWTL,$NEWTL,NewtekOne Inc. 5.75% Notes due 2024
NEWTZ,$NEWTZ,NewtekOne Inc. 5.50% Notes Due 2026
NEX,$NEX,NexTier Oilfield Solutions Inc. Common Stock
NEXA,$NEXA,Nexa Resources S.A. Common Shares
NEXT,$NEXT,NextDecade Corporation Common Stock
NFBK,$NFBK,Northfield Bancorp Inc. Common Stock (Delaware)
NFE,$NFE,New Fortress Energy Inc. Class A Common Stock
NFG,$NFG,National Fuel Gas Company Common Stock
NFGC,$NFGC,New Found Gold Corp Common Shares
NFLX,$NFLX,Netflix Inc. Common Stock
NG,$NG,Novagold Resources Inc.
NGD,$NGD,New Gold Inc.
NGG,$NGG,National Grid Transco PLC National Grid PLC (NEW) American Depositary Shares
NGL,$NGL,NGL ENERGY PARTNERS LP Common Units representing Limited Partner Interests
NGMS,$NGMS,NeoGames S.A. Ordinary Shares
NGVT,$NGVT,Ingevity Corporation Common Stock 
NHC,$NHC,National HealthCare Corporation Common Stock
NHI,$NHI,National Health Investors Inc. Common Stock
NI,$NI,NiSource Inc Common Stock
NIC,$NIC,Nicolet Bankshares Inc. Common Stock
NICE,$NICE,NICE Ltd American Depositary Shares
NIE,$NIE,Virtus Equity & Convertible Income Fund Common Shares of Beneficial Interest
NIMC,$NIMC,NiSource Inc Series A Corporate Units
NIO,$NIO,NIO Inc. American depositary shares each  representing one Class A ordinary share
NIU,$NIU,Niu Technologies American Depositary Shares
NJR,$NJR,NewJersey Resources Corporation Common Stock
NKE,$NKE,Nike Inc. Common Stock
NKLA,$NKLA,Nikola Corporation Common Stock
NLY,$NLY,Annaly Capital Management Inc. Common Stock
NMCO,$NMCO,Nuveen Municipal Credit Opportunities Fund Common Shares
NMFC,$NMFC,New Mountain Finance Corporation Common Stock
NMIH,$NMIH,NMI Holdings Inc. Class A Common Stock
NMM,$NMM,Navios Maritime Partners LP Common Units Representing Limited Partner Interests
NMR,$NMR,Nomura Holdings Inc ADR American Depositary Shares
NMRK,$NMRK,Newmark Group Inc. Class A Common Stock
NN,$NN,NextNav Inc. Common Stock
NNDM,$NNDM,Nano Dimension Ltd. American Depositary Shares
NNI,$NNI,Nelnet Inc. Common Stock
NNN,$NNN,NNN REIT Inc. Common Stock
NNOX,$NNOX,NANO-X IMAGING LTD Ordinary Shares
NOA,$NOA,North American Construction Group Ltd. Common Shares (no par)
NOAH,$NOAH,Noah Holdings Limited
NOC,$NOC,Northrop Grumman Corporation Common Stock
NOG,$NOG,Northern Oil and Gas Inc. Common Stock
NOK,$NOK,Nokia Corporation Sponsored American Depositary Shares
NOMD,$NOMD,Nomad Foods Limited Ordinary Shares
NOTE,$NOTE,FiscalNote Holdings Inc. Class A common stock
NOV,$NOV,NOV Inc. Common Stock
NOVA,$NOVA,Sunnova Energy International Inc. Common Stock
NOVT,$NOVT,Novanta Inc. Common Stock
NOW,$NOW,ServiceNow Inc. Common Stock
NPK,$NPK,National Presto Industries Inc. Common Stock
NPO,$NPO,EnPro Industries Inc
NR,$NR,Newpark Resources Inc. Common Stock
NRC,$NRC,National Research Corporation Common Stock (Delaware)
NRDS,$NRDS,NerdWallet Inc. Class A Common Stock
NRDY,$NRDY,Nerdy Inc. Class A Common Stock
NRG,$NRG,NRG Energy Inc. Common Stock
NRGV,$NRGV,Energy Vault Holdings Inc. Common Stock
NRGX,$NRGX,PIMCO Energy and Tactical Credit Opportunities Fund Common Shares of Beneficial Interest
NRIX,$NRIX,Nurix Therapeutics Inc. Common stock
NRP,$NRP,Natural Resource Partners LP Limited Partnership
NS,$NS,Nustar Energy L.P.  Common Units
NSA,$NSA,National Storage Affiliates Trust Common Shares of Beneficial Interest
NSC,$NSC,Norfolk Southern Corporation Common Stock
NSIT,$NSIT,Insight Enterprises Inc. Common Stock
NSP,$NSP,Insperity Inc. Common Stock
NSSC,$NSSC,NAPCO Security Technologies Inc. Common Stock
NTAP,$NTAP,NetApp Inc. Common Stock
NTB,$NTB,Bank of N.T. Butterfield & Son Limited (The) Voting Ordinary Shares
NTCO,$NTCO,Natura &Co Holding S.A. American Depositary Shares 
NTCT,$NTCT,NetScout Systems Inc. Common Stock
NTES,$NTES,NetEase Inc. American Depositary Shares
