Symbol,Dollar_Symbol,Name
ASLE,$ASLE,AerSale Corporation Common Stock
ASML,$ASML,ASML Holding N.V. New York Registry Shares
ASND,$ASND,Ascendis Pharma A/S American Depositary Shares
ASO,$ASO,Academy Sports and Outdoors Inc. Common Stock
ASPN,$ASPN,Aspen Aerogels Inc. Common Stock
ASR,$ASR,Grupo Aeroportuario del Sureste S.A. de C.V. Common Stock
ASRT,$ASRT,Assertio Holdings Inc. Common Stock
ASTE,$ASTE,Astec Industries Inc. Common Stock
ASTL,$ASTL,Algoma Steel Group Inc. Common Shares
ASTS,$ASTS,AST SpaceMobile Inc. Class A Common Stock
ASX,$ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares) 
ATAI,$ATAI,ATAI Life Sciences N.V. Common Shares
ATAT,$ATAT,Atour Lifestyle Holdings Limited American Depositary Shares
ATEC,$ATEC,Alphatec Holdings Inc. Common Stock
ATEN,$ATEN,A10 Networks Inc. Common Stock
ATEX,$ATEX,Anterix Inc. Common Stock
ATGE,$ATGE,Adtalem Global Education Inc. Common Stock
ATHM,$ATHM,Autohome Inc. American Depositary Shares each representing four class A ordinary shares.
ATI,$ATI,ATI Inc. Common Stock
ATKR,$ATKR,Atkore Inc. Common Stock
ATLC,$ATLC,Atlanticus Holdings Corporation Common Stock
ATLCL,$ATLCL,Atlanticus Holdings Corporation 6.125% Senior Notes due 2026
ATLCP,$ATLCP,Atlanticus Holdings Corporation 7.625% Series B Cumulative Perpetual Preferred Stock no par value per share
ATNI,$ATNI,ATN International Inc. Common Stock
ATO,$ATO,Atmos Energy Corporation Common Stock
ATR,$ATR,AptarGroup Inc. Common Stock
ATRC,$ATRC,AtriCure Inc. Common Stock
ATRI,$ATRI,Atrion Corporation Common Stock
ATRO,$ATRO,Astronics Corporation Common Stock
ATS,$ATS,ATS Corporation Common Shares
ATSG,$ATSG,Air Transport Services Group Inc
ATUS,$ATUS,Altice USA Inc. Class A Common Stock
ATVI,$ATVI,Activision Blizzard Inc. Common Stock
AU,$AU,AngloGold Ashanti Limited Common Stock
AUB,$AUB,Atlantic Union Bankshares Corporation Common Stock
AUDC,$AUDC,AudioCodes Ltd. Common Stock
AUPH,$AUPH,Aurinia Pharmaceuticals Inc Ordinary Shares
AUR,$AUR,Aurora Innovation Inc. Class A Common Stock
AURA,$AURA,Aura Biosciences Inc. Common Stock
AURC,$AURC,Aurora Acquisition Corp. Class A Ordinary Shares
AURCU,$AURCU,Aurora Acquisition Corp. Unit
AUROW,$AUROW,Aurora Innovation Inc. Warrant
AUTL,$AUTL,Autolus Therapeutics plc American Depositary Share
AVA,$AVA,Avista Corporation Common Stock
AVAH,$AVAH,Aveanna Healthcare Holdings Inc. Common Stock
AVAL,$AVAL,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares)
AVAV,$AVAV,AeroVironment Inc. Common Stock
AVB,$AVB,AvalonBay Communities Inc. Common Stock
AVD,$AVD,American Vanguard Corporation Common Stock ($0.10 Par Value)
AVDL,$AVDL,Avadel Pharmaceuticals plc American Depositary Shares
AVDX,$AVDX,AvidXchange Holdings Inc. Common Stock
AVGO,$AVGO,Broadcom Inc. Common Stock
AVID,$AVID,Avid Technology Inc. Common Stock
AVNS,$AVNS,Avanos Medical Inc. Common Stock
AVNT,$AVNT,Avient Corporation Common Stock
AVNW,$AVNW,Aviat Networks Inc. Common Stock
AVO,$AVO,Mission Produce Inc. Common Stock
AVPT,$AVPT,AvePoint Inc. Class A Common Stock
AVT,$AVT,Avnet Inc. Common Stock
AVTA,$AVTA,Avantax Inc. Common Stock
AVTE,$AVTE,Aerovate Therapeutics Inc. Common Stock
AVTR,$AVTR,Avantor Inc. Common Stock
AVXL,$AVXL,Anavex Life Sciences Corp. Common Stock
AVY,$AVY,Avery Dennison Corporation Common Stock
AWI,$AWI,Armstrong World Industries Inc Common Stock
AWK,$AWK,American Water Works Company Inc. Common Stock
AWR,$AWR,American States Water Company Common Stock
AX,$AX,Axos Financial Inc. Common Stock
AXGN,$AXGN,Axogen Inc. Common Stock
AXL,$AXL,American Axle & Manufacturing Holdings Inc. Common Stock
AXNX,$AXNX,Axonics Inc. Common Stock
AXON,$AXON,Axon Enterprise Inc. Common Stock
AXP,$AXP,American Express Company Common Stock
AXS,$AXS,Axis Capital Holdings Limited Common Stock
AXSM,$AXSM,Axsome Therapeutics Inc. Common Stock
AXTA,$AXTA,Axalta Coating Systems Ltd. Common Shares
AY,$AY,Atlantica Sustainable Infrastructure plc Ordinary Shares
AYI,$AYI,Acuity Brands Inc. 
AYX,$AYX,Alteryx Inc. Class A Common Stock
AZEK,$AZEK,The AZEK Company Inc. Class A Common Stock
AZN,$AZN,AstraZeneca PLC American Depositary Shares
AZO,$AZO,AutoZone Inc. Common Stock
AZPN,$AZPN,Aspen Technology Inc. Common Stock
AZTA,$AZTA,Azenta Inc.
AZUL,$AZUL,Azul S.A. American Depositary Shares (each representing three preferred shares)
AZZ,$AZZ,AZZ Inc.
$B,$B,Barnes Group Inc. Common Stock
BA,$BA,Boeing Company (The) Common Stock
BABA,$BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share
BAC,$BAC,Bank of America Corporation Common Stock
BAH,$BAH,Booz Allen Hamilton Holding Corporation Common Stock
BAK,$BAK,Braskem SA ADR
BALL,$BALL,Ball Corporation Common Stock
BALY,$BALY,Bally's Corporation Common Stock
BAM,$BAM,Brookfield Asset Management Inc Class A Limited Voting Shares
BANC,$BANC,Banc of California Inc. Common Stock
BAND,$BAND,Bandwidth Inc. Class A Common Stock
BANF,$BANF,BancFirst Corporation Common Stock
BANR,$BANR,Banner Corporation Common Stock
BAP,$BAP,Credicorp Ltd. Common Stock
BASE,$BASE,Couchbase Inc. Common Stock
BATRA,$BATRA,Atlanta Braves Holdings Inc. Series A Common Stock
BATRK,$BATRK,Atlanta Braves Holdings Inc. Series C Common Stock
BAX,$BAX,Baxter International Inc. Common Stock
BB,$BB,BlackBerry Limited Common Stock
BBAR,$BBAR,Banco BBVA Argentina S.A. ADS
BBCP,$BBCP,Concrete Pumping Holdings Inc. Common Stock
BBD,$BBD,Banco Bradesco Sa American Depositary Shares
BBDC,$BBDC,Barings BDC Inc. Common Stock
BBDO,$BBDO,Banco Bradesco Sa American Depositary Shares (each representing one Common Share)
BBIO,$BBIO,BridgeBio Pharma Inc. Common Stock
BBSI,$BBSI,Barrett Business Services Inc. Common Stock
BBU,$BBU,Brookfield Business Partners L.P. Limited Partnership Units 
BBUC,$BBUC,Brookfield Business Corporation Class A Exchangeable Subordinate Voting Shares
BBVA,$BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock
BBW,$BBW,Build-A-Bear Workshop Inc. Common Stock
BBWI,$BBWI,Bath & Body Works Inc.
BBY,$BBY,Best Buy Co. Inc. Common Stock
BC,$BC,Brunswick Corporation Common Stock
BCAT,$BCAT,BlackRock Capital Allocation Term Trust Common Shares of Beneficial Interest
BCC,$BCC,Boise Cascade L.L.C. Common Stock
BCE,$BCE,BCE Inc. Common Stock
BCH,$BCH,Banco De Chile Banco De Chile ADS
BCO,$BCO,Brinks Company (The) Common Stock
BCPC,$BCPC,Balchem Corporation Common Stock
BCRX,$BCRX,BioCryst Pharmaceuticals Inc. Common Stock
BCS,$BCS,Barclays PLC Common Stock
BCSF,$BCSF,Bain Capital Specialty Finance Inc. Common Stock
BCX,$BCX,BlackRock Resources Common Shares of Beneficial Interest
BCYC,$BCYC,Bicycle Therapeutics plc American Depositary Shares
BDC,$BDC,Belden Inc Common Stock
BDN,$BDN,Brandywine Realty Trust Common Stock
BDX,$BDX,Becton Dickinson and Company Common Stock
BE,$BE,Bloom Energy Corporation Class A Common Stock
BEAM,$BEAM,Beam Therapeutics Inc. Common Stock
BECN,$BECN,Beacon Roofing Supply Inc. Common Stock
BEKE,$BEKE,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares)
BELFA,$BELFA,Bel Fuse Inc. Class A Common Stock
BELFB,$BELFB,Bel Fuse Inc. Class B Common Stock
BEN,$BEN,Franklin Resources Inc. Common Stock
BEP,$BEP,Brookfield Renewable Partners L.P. 
BEPC,$BEPC,Brookfield Renewable Corporation Class A Subordinate Voting Shares 
BERY,$BERY,Berry Global Group Inc. Common Stock
BFAM,$BFAM,Bright Horizons Family Solutions Inc. Common Stock
BFC,$BFC,Bank First Corporation Common Stock
BFH,$BFH,Bread Financial Holdings Inc. Common Stock
BFLY,$BFLY,Butterfly Network Inc. Class A Common Stock
BFS,$BFS,Saul Centers Inc. Common Stock
BFST,$BFST,Business First Bancshares Inc. Common Stock
BG,$BG,Bunge Limited Bunge Limited
BGC,$BGC,BGC Group Inc. Class A Common Stock
BGNE,$BGNE,BeiGene Ltd. American Depositary Shares
BGR,$BGR,BlackRock Energy and Resources Trust
BGS,$BGS,B&G Foods Inc. B&G Foods Inc. Common Stock
BH,$BH,Biglari Holdings Inc. Class B Common Stock
BHB,$BHB,Bar Harbor Bankshares Inc. Common Stock
BHC,$BHC,Bausch Health Companies Inc. Common Stock
BHE,$BHE,Benchmark Electronics Inc. Common Stock
BHF,$BHF,Brighthouse Financial Inc. Common Stock
BHFAL,$BHFAL,Brighthouse Financial Inc. 6.25% Junior Subordinated Debentures due 2058
BHFAM,$BHFAM,Brighthouse Financial Inc. Depositary shares each representing a 1/1000th Interest in a Share of 4.625% Non-Cumulative Preferred Stock Series D
BHFAN,$BHFAN,Brighthouse Financial Inc. Depositary shares each representing a 1/1000th interest in a share of 5.375% Non-Cumulative Preferred Stock Series C
BHFAO,$BHFAO,Brighthouse Financial Inc. Depositary Shares 6.75% Non-Cumulative Preferred Stock Series B
BHFAP,$BHFAP,Brighthouse Financial Inc. Depositary Shares 6.6% Non-Cumulative Preferred Stock Series A
BHLB,$BHLB,Berkshire Hills Bancorp Inc. Common Stock
BHP,$BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares)
BHRB,$BHRB,Burke & Herbert Financial Services Corp. Common Stock
BHVN,$BHVN,Biohaven Ltd. Common Shares 
BIDU,$BIDU,Baidu Inc. ADS
BIGC,$BIGC,BigCommerce Holdings Inc. Series 1 Common Stock
